[Tue Oct 09 14:22:03 2018] [ERROR] [Pds_personal_info->process] -> Entered date in Birth Date exceeded the maximum date(2018/10/09), FILE: , LINE: 0
[Tue Oct 09 14:22:23 2018] [ERROR] [Pds_personal_info->process] -> 12 character/s for TIN Number, FILE: , LINE: 0
[Tue Oct 09 16:27:37 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:27:37 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:27:37 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 16:29:52 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:29:52 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:29:52 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 16:31:06 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:31:06 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:31:06 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 16:31:07 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:31:07 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:31:07 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 16:31:08 2018] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 782
[Tue Oct 09 16:31:08 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\core\Base_Model.php, LINE: 523
[Tue Oct 09 16:31:08 2018] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for A.payroll_type_id, FILE: C:\www\application\modules\main\models\Reports_payroll_model.php, LINE: 857
[Tue Oct 09 16:32:15 2018] [ERROR] [Pds_personal_info->process] -> , FILE: , LINE: 0
[Tue Oct 09 16:32:18 2018] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Tue Oct 09 16:36:34 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Tue Oct 09 16:36:57 2018] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
