[Wed Jun 05 00:34:18 2019] [ERROR] [Pds_personal_info->process] -> <b>Height</b> is required.<br><b>Weight</b> is required.<br>, FILE: , LINE: 0
[Wed Jun 05 00:48:31 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 00:49:13 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 00:49:40 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 00:50:12 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 00:50:41 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 00:51:04 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Wed Jun 05 01:02:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Wed Jun 05 01:02:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Wed Jun 05 01:02:42 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Wed Jun 05 01:02:46 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
