[Thu Jun 06 10:09:15 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 10:09:15 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 10:09:15 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 10:09:16 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 10:09:16 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 10:09:16 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 10:20:10 2019] [ERROR] [Pds_personal_info->process] -> <b>Gender</b> is required.<br>, FILE: , LINE: 0
[Thu Jun 06 14:02:53 2019] [ERROR] [Pds_personal_info->process] -> <b>Gender</b> is required.<br>, FILE: , LINE: 0
[Thu Jun 06 21:59:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 21:59:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 21:59:30 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 21:59:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 21:59:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 21:59:32 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 22:04:22 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:04:43 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:05:00 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:05:16 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:05:35 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:06:04 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Jun 06 22:46:29 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 22:46:29 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 22:46:29 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 22:48:00 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Thu Jun 06 22:48:00 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Thu Jun 06 22:48:00 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Thu Jun 06 22:59:51 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 22:59:58 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:00:04 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:00:13 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:02:19 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:03:13 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:03:56 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:04:02 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:04:15 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:06:00 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:06:03 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:07:08 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:11:28 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:11:48 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:12:08 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:19:39 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Thu Jun 06 23:19:51 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
