[Sun Jun 09 16:36:29 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Sun Jun 09 17:05:12 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Sun Jun 09 17:27:04 2019] [ERROR] [Biometric_logs->process_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Sun Jun 09 17:45:45 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 17:45:45 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 17:45:45 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Sun Jun 09 17:58:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 17:58:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 17:58:31 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Sun Jun 09 18:01:09 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 18:01:09 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 18:01:09 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Sun Jun 09 18:01:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 18:01:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 18:01:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Sun Jun 09 18:06:28 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Sun Jun 09 18:06:36 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Sun Jun 09 18:06:43 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Sun Jun 09 18:07:45 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Sun Jun 09 18:07:53 2019] [ERROR] [Payroll_remittance->process_remittance] -> No record to process. Please contact the system administrator., FILE: , LINE: 0
[Sun Jun 09 18:09:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 18:09:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 18:09:19 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
[Sun Jun 09 18:09:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 436
[Sun Jun 09 18:09:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 225
[Sun Jun 09 18:09:20 2019] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\xampp\htdocs\ptis\application\modules\main\models\Deduction_model.php, LINE: 517
