[Wed Oct 09 09:36:19 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 6, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 09:36:19 2019] [ERROR] [Employee_attendance->process_time_logs] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 6, FILE: , LINE: 0
[Wed Oct 09 09:59:58 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 13, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 09:59:58 2019] [ERROR] [Employee_attendance->process_time_logs] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 13, FILE: , LINE: 0
[Wed Oct 09 16:37:22 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 26, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 16:37:22 2019] [ERROR] [Employee_attendance->process_time_logs] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 26, FILE: , LINE: 0
[Wed Oct 09 17:12:28 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:12:28 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
[Wed Oct 09 17:12:34 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:12:34 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
[Wed Oct 09 17:12:46 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:12:46 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
[Wed Oct 09 17:13:21 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:13:21 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
[Wed Oct 09 17:14:14 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:14:14 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
[Wed Oct 09 17:15:09 2019] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Wed Oct 09 17:15:09 2019] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 87, FILE: , LINE: 0
