[Mon Jun 29 13:04:15 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:04:15 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:04:37 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:04:37 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:04:54 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:04:54 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:05:39 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:05:39 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:08:14 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:08:14 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:09:25 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:09:25 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
[Mon Jun 29 13:10:14 2020] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: C:\www\application\core\Base_Model.php, LINE: 968
[Mon Jun 29 13:10:14 2020] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 53, FILE: , LINE: 0
