[Fri Sep 11 07:23:39 2020] [ERROR] [Pds_personal_info->process] -> <b>GSIS Number</b> is required. If Not Applicable, put <b>NA</b>., FILE: , LINE: 0
[Fri Sep 11 07:23:45 2020] [ERROR] [Pds_personal_info->process] -> 10 character/s for SSS Number, FILE: , LINE: 0
[Fri Sep 11 07:57:01 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 07:57:11 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 07:57:38 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 08:29:49 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 08:41:37 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 08:41:46 2020] [ERROR] [Pds_personal_info->process] -> <b>Agency Employee ID</b> already exists. Try checking the box to generate new ID., FILE: , LINE: 0
[Fri Sep 11 09:42:40 2020] [ERROR] [Pds_personal_info->process] -> 12 character/s for TIN Number, FILE: , LINE: 0
[Fri Sep 11 10:35:45 2020] [ERROR] [Pds_personal_info->process] -> 10 character/s for SSS Number, FILE: , LINE: 0
[Fri Sep 11 17:11:28 2020] [ERROR] [Pds_personal_info->process] -> , FILE: , LINE: 0
[Fri Sep 11 17:11:37 2020] [ERROR] [Pds_personal_info->process] -> , FILE: , LINE: 0
[Fri Sep 11 17:12:55 2020] [ERROR] [Pds_personal_info->process] -> , FILE: , LINE: 0
[Fri Sep 11 17:13:02 2020] [ERROR] [Pds_personal_info->process] -> , FILE: , LINE: 0
[Fri Sep 11 17:29:32 2020] [ERROR] [Pds_personal_info->process] -> 12 character/s for TIN Number, FILE: , LINE: 0
[Fri Sep 11 17:43:48 2020] [ERROR] [Pds_personal_info->process] -> 12 character/s for Philhealth Number, FILE: , LINE: 0
[Fri Sep 11 17:44:19 2020] [ERROR] [Pds_personal_info->process] -> 12 character/s for Philhealth Number, FILE: , LINE: 0
[Fri Sep 11 17:46:56 2020] [ERROR] [Pds_personal_info->process] -> 12 character/s for TIN Number, FILE: , LINE: 0
