[Sat Jul 01 12:53:07 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 25816, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 12:53:07 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 25816, FILE: , LINE: 0
[Sat Jul 01 13:44:46 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 28427, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 13:44:46 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 28427, FILE: , LINE: 0
[Sat Jul 01 13:47:02 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 25803, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 13:47:02 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 25803, FILE: , LINE: 0
[Sat Jul 01 14:03:13 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26760, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 14:03:13 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26760, FILE: , LINE: 0
[Sat Jul 01 14:24:06 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26759, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 14:24:06 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26759, FILE: , LINE: 0
[Sat Jul 01 14:27:58 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26771, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Sat Jul 01 14:27:58 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 26771, FILE: , LINE: 0
