[Thu Sep 21 08:47:26 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 08:47:26 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 08:47:36 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 08:47:36 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 08:48:04 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 08:48:04 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 08:48:12 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 08:48:12 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 08:50:10 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 08:50:10 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:02:18 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:02:18 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:02:37 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:02:37 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:04:31 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:04:31 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:05:16 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:05:16 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:10:31 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:10:31 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:10:52 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:10:52 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:11:52 2023] [ERROR] [Biometric_logs->process_csv_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Sep 21 09:13:04 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:13:04 2023] [ERROR] [Requests->process_task] -> SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: , LINE: 0
[Thu Sep 21 09:13:18 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 09:13:18 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 09:14:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Thu Sep 21 09:14:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 225
[Thu Sep 21 09:14:04 2023] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 2, FILE: C:\Apache24\htdocs\application\modules\main\models\Deduction_model.php, LINE: 565
[Thu Sep 21 09:14:31 2023] [ERROR] [Biometric_logs->process_csv_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Thu Sep 21 09:14:50 2023] [ERROR] [Deductions->process_other_deductions] -> Start date should not be earlier than work experience start date., FILE: , LINE: 0
[Thu Sep 21 09:15:13 2023] [ERROR] [Deductions->process_other_deductions] -> Row 1: Start of Deduction should not be lower than Deduction Start Date., FILE: , LINE: 0
[Thu Sep 21 10:05:12 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 29257, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 10:05:12 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 29257, FILE: , LINE: 0
[Thu Sep 21 10:05:54 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 10:05:54 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 10:15:32 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 10:15:32 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 10:16:54 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 10:16:54 2023] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1160, FILE: , LINE: 0
[Thu Sep 21 10:17:01 2023] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 29150, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Thu Sep 21 10:17:01 2023] [ERROR] [Pds_work_experience_info->process_work_experience_doh] -> SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '' for column 'employ_salary_grade' at row 29150, FILE: , LINE: 0
