[Mon Feb 05 06:58:02 2024] [ERROR] [Requests->open_request] -> Sorry, but your current request is invalid. Missing Module ID, FILE: , LINE: 0
[Mon Feb 05 08:39:53 2024] [ERROR] [Requests->open_request] -> Sorry, but your current request is invalid. Missing Module ID, FILE: , LINE: 0
[Mon Feb 05 08:39:54 2024] [ERROR] [Requests->open_request] -> Sorry, but your current request is invalid. Missing Module ID, FILE: , LINE: 0
[Mon Feb 05 08:48:03 2024] [ERROR] [Requests->open_request] -> Sorry, but your current request is invalid. Missing Module ID, FILE: , LINE: 0
[Mon Feb 05 09:07:37 2024] [ERROR] [Requests->open_request] -> Sorry, you don't have permission to approve the leave application. Only the assigned <b>Immediate Supervisor</b> is allowed. Please contact the System's Administrator., FILE: , LINE: 0
[Mon Feb 05 09:16:31 2024] [ERROR] [Requests->open_request] -> Sorry, you don't have permission to approve the leave application. Only the assigned <b>Immediate Supervisor</b> is allowed. Please contact the System's Administrator., FILE: , LINE: 0
[Mon Feb 05 09:21:24 2024] [ERROR] [Requests->open_request] -> Sorry, you don't have permission to approve the leave application. Only the assigned <b>Immediate Supervisor</b> is allowed. Please contact the System's Administrator., FILE: , LINE: 0
[Mon Feb 05 09:25:28 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Mon Feb 05 09:25:28 2024] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: , LINE: 0
[Mon Feb 05 09:25:34 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Mon Feb 05 09:25:34 2024] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: , LINE: 0
[Mon Feb 05 09:26:13 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Mon Feb 05 09:26:13 2024] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: , LINE: 0
[Mon Feb 05 09:26:29 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Mon Feb 05 09:26:29 2024] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: , LINE: 0
[Mon Feb 05 09:27:22 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
[Mon Feb 05 09:27:22 2024] [ERROR] [Requests->process_task] -> SQLSTATE[22003]: Numeric value out of range: 1264 Out of range value for column 'tardiness' at row 1231, FILE: , LINE: 0
[Mon Feb 05 09:36:49 2024] [ERROR] [Base_Model->rlog_error] -> 963: SQLSTATE[HY000]: General error: 1205 Lock wait timeout exceeded; try restarting transaction, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 968
