[Fri May 31 07:40:30 2024] [ERROR] [Biometric_logs->process_csv_upload] -> PROCESS CHECK!!, FILE: , LINE: 0
[Fri May 31 08:29:44 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:29:44 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:29:44 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
[Fri May 31 08:30:19 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:30:19 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:30:19 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
[Fri May 31 08:30:34 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:30:34 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:30:34 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
[Fri May 31 08:31:37 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:31:37 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:31:37 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
[Fri May 31 08:33:02 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:33:02 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:33:02 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
[Fri May 31 08:34:52 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 436
[Fri May 31 08:34:52 2024] [ERROR] [Base_Model->rlog_error] -> 413: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 206
[Fri May 31 08:34:52 2024] [ERROR] [Employee_dtr->process_leave_request] -> SQLSTATE[42S02]: Base table or view not found: 1146 Table 'doh_ptis_module.employee_returned_leaves' doesn't exist, FILE: , LINE: 0
