[Thu Oct 04 16:10:38 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:10:38 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:10:38 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
[Thu Oct 04 16:12:46 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:12:46 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:12:46 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
[Thu Oct 04 16:13:24 2018] [ERROR] [Base_Controller->rlog_error] -> Duplicate Organization Code, FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 225
[Thu Oct 04 16:13:32 2018] [ERROR] [Base_Controller->rlog_error] -> Duplicate Organization Code, FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 225
[Thu Oct 04 16:16:50 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:16:50 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:16:50 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
[Thu Oct 04 16:19:13 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:19:13 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:19:13 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
[Thu Oct 04 16:19:16 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:19:16 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:19:16 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
[Thu Oct 04 16:24:05 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\core\Base_Model.php, LINE: 1012
[Thu Oct 04 16:24:05 2018] [ERROR] [Base_Model->rlog_error] -> 1007: SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\models\Orgs_model.php, LINE: 322
[Thu Oct 04 16:24:05 2018] [ERROR] [Base_Controller->rlog_error] -> SQLSTATE[23000]: Integrity constraint violation: 1451 Cannot delete or update a parent row: a foreign key constraint fails (`doh_ptis_module`.`employee_work_experiences`, CONSTRAINT `fk_pdswork_pds4` FOREIGN KEY (`employ_office_id`) REFERENCES `param_offices` (`office_id`) ON DELETE NO ACTION ON UPDATE NO ACTION), FILE: C:\www\application\modules\sysad\controllers\Organizations.php, LINE: 281
