[Thu Jun 20 09:26:09 2019] [ERROR] [Base_Controller->rlog_error] -> No modules and actions defined!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Permissions.php, LINE: 228
[Thu Jun 20 09:26:15 2019] [ERROR] [Base_Controller->rlog_error] -> No modules and actions defined!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Permissions.php, LINE: 228
[Thu Jun 20 09:27:15 2019] [ERROR] [Base_Controller->rlog_error] -> No modules and actions defined!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Permissions.php, LINE: 228
[Thu Jun 20 09:27:23 2019] [ERROR] [Base_Controller->rlog_error] -> No modules and actions defined!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Permissions.php, LINE: 228
[Thu Jun 20 09:27:57 2019] [ERROR] [Base_Controller->rlog_error] -> No modules and actions defined!, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\controllers\Permissions.php, LINE: 228
[Thu Jun 20 15:19:18 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 20 15:19:18 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 20 15:19:18 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 20 15:19:18 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 20 15:19:18 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
[Thu Jun 20 15:20:33 2019] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 782
[Thu Jun 20 15:20:33 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 523
[Thu Jun 20 15:20:33 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 442
[Thu Jun 20 15:20:33 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\core\Base_Model.php, LINE: 231
[Thu Jun 20 15:20:33 2019] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ptis\application\modules\sysad\models\Users_model.php, LINE: 135
