[Mon Jun 10 08:11:26 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Mon Jun 10 08:11:26 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Mon Jun 10 08:11:26 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Mon Jun 10 08:11:26 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Mon Jun 10 08:11:26 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 339
[Mon Jun 10 08:41:06 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Mon Jun 10 08:41:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Mon Jun 10 08:41:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Mon Jun 10 08:41:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Mon Jun 10 08:41:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 339
[Mon Jun 10 08:42:43 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 782
[Mon Jun 10 08:42:43 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 523
[Mon Jun 10 08:42:43 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 442
[Mon Jun 10 08:42:43 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\core\Base_Model.php, LINE: 231
[Mon Jun 10 08:42:43 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\Apache24\htdocs\application\modules\sysad\models\Users_model.php, LINE: 339
[Mon Jun 10 14:11:55 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 782
[Mon Jun 10 14:11:55 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 523
[Mon Jun 10 14:11:55 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 442
[Mon Jun 10 14:11:55 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 231
[Mon Jun 10 14:11:55 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\modules\sysad\models\Users_model.php, LINE: 339
[Mon Jun 10 14:49:06 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 782
[Mon Jun 10 14:49:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 523
[Mon Jun 10 14:49:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 442
[Mon Jun 10 14:49:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 231
[Mon Jun 10 14:49:06 2024] [ERROR] [Base_Model->rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\modules\sysad\models\Users_model.php, LINE: 339
[Mon Jun 10 14:50:06 2024] [ERROR] [Base_Model::rlog_error] -> 619: Invalid syntax validation for status_id, FILE: C:\xampp\htdocs\ams\application\core\Base_Model.php, LINE: 782
